AREA,AVG_INCOME_2016,AVG_VALUE_DWELLINGS_2016,POSTSECONDARY_PCT_2016,MANAGEMENT_PCT_2016
Arbutus-Ridge,0.7295058968348072,1.971569861031162,0.1183749541063561,1.019818300388406
Downtown,0.7503597838581502,0.04945691065734021,0.7753415431024412,0.8104422632885301
Dunbar-Southlands,1.2885783333182481,2.621201465504138,0.3521450627433893,0.7884788895737121
Fairview,0.6915634079451137,-0.17285746483076805,0.9162619711519132,0.28045821022839057
Grandview-Woodland,0.013413828371785704,-0.0029463009216594126,-0.014937103467650838,-0.22513251463891337
Hastings-Sunrise,-0.1545034077640904,0.44973082168065565,-0.8844278093595245,-0.3489837303848612
Kensington-Cedar Cottage,-0.14896409402351493,0.3866153581947771,-0.5959318789848331,-0.5075921532267118
Kerrisdale,1.2571164794583782,2.439720921542251,0.18152624070927856,0.5466614550822504
Killarney,-0.12716888571092386,0.24149801334345034,-0.4676060085848278,-0.2836082633815375
Kitsilano,0.7446032421277482,0.525766104528319,0.7729209647271055,0.32573523116416586
Marpole,-0.12691545305612628,0.979840531000136,-0.13135353765467278,-0.09982266412719439
Mount Pleasant,0.42484364110315614,-0.12077737206360384,0.6635470595650805,0.17663488342035932
Oakridge,0.14443851090212975,1.8664131869473566,-0.07707048793835833,0.5448859082502995
Renfrew-Collingwood,-0.3318338567924477,0.24433455253131833,-0.8168979197734348,-0.5494182539202279
Riley Park,0.3813980431378583,0.9789809362984212,0.17467527992458737,-0.06981107896146471
Shaughnessy,2.756713702560575,2.8931725426706447,0.3840202637102341,1.0814187687693884
South Cambie,0.8302996841142981,1.240203996498724,0.5014709100527521,0.23718973142384078
Strathcona,-0.39794357502964256,-0.06884650592327964,-0.8979925166250347,-0.16235658513257065
Sunset,-0.30098748223708627,0.6850723117085247,-0.8037234610295306,-0.644863477576345
Victoria-Fraserview,-0.29787388104957324,0.6662463244464355,-1.0141485879270227,-0.5482272295566595
West End,0.1711575536507879,-0.2844160845338009,0.6700392865408126,0.1958515646122585
West Point Grey,1.4306816433297431,2.3794037656290996,0.4955517246103379,0.20978258183113332
Vancouver CMA,0.15551713838328068,0.12891330642115392,-0.297174019089486,-0.01966737447974362
